TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2016,8,18,12,6,12XX GLEN DR,strathcona,494079.8,5457854.53
Theft from Vehicle,2016,4,12,16,55,1XX W 37TH AVE,rileypark,492139.3,5453846.17
Theft from Vehicle,2016,8,28,22,30,1XX W 37TH AVE,rileypark,492139.3,5453846.17
Theft from Vehicle,2016,4,28,6,10,23XX E 34TH AVE,renfrewcollingwood,495728.53,5454011.86
Break and Enter Residential/Other,2016,11,12,5,50,57XX RHODES ST,victoriafraserview,496343.13,5453193.61
Theft from Vehicle,2016,11,11,21,30,10XX BARCLAY ST,westend,490808.77,5458912.66
Theft from Vehicle,2016,12,24,11,53,7XX DUNSMUIR ST,downtown,491483.77,5459051.57
Break and Enter Commercial,2016,3,15,21,0,3XX BOUNDARY RD,hastingssunrise,498278.08,5458746.38
Theft from Vehicle,2016,4,21,21,30,7XX E 38TH AVE,kensingtoncedarcottage,493553.13,5453663.79
Break and Enter Residential/Other,2016,10,25,8,30,57XX ST MARGARETS ST,victoriafraserview,495876.14,5453271.8
Theft of Vehicle,2016,7,27,18,0,18XX SPYGLASS PL,fairview,491610.94,5457458.83
Break and Enter Commercial,2016,9,1,23,28,3XX ABBOTT ST,downtown,492234.48,5458901.73
Break and Enter Commercial,2016,11,18,1,58,5XX NICOLA ST,downtown,490721.95,5459808.39
Theft from Vehicle,2016,8,20,17,30,COLUMBIA ST / KEEFER ST,downtown,492569.99,5458508.48
Theft from Vehicle,2016,12,5,18,21,7XX DUNSMUIR ST,downtown,491483.77,5459051.57
Theft from Vehicle,2016,5,18,7,45,10XX BARCLAY ST,westend,490795.76,5458913.01
Theft from Vehicle,2016,4,16,0,0,7XX E 38TH AVE,kensingtoncedarcottage,493414.78,5453656.34
Break and Enter Residential/Other,2016,8,2,16,0,57XX WALES ST,victoriafraserview,496235.79,5453250.86
Theft from Vehicle,2016,9,9,13,0,COLUMBIA ST / KEEFER ST,downtown,492569.99,5458508.48
Theft of Vehicle,2016,2,25,13,10,10XX SE MARINE DR,sunset,493873.13,5450918.87
Theft from Vehicle,2016,12,1,11,30,7XX DUNSMUIR ST,downtown,491483.77,5459051.57
Break and Enter Residential/Other,2016,1,13,0,0,16XX GRANVILLE ST,downtown,490419.58,5457877.16
Vehicle Collision or Pedestrian Struck (with Injury),2016,5,29,17,24,32XX BLOCK KINGSWAY AVE,renfrewcollingwood,497265,5453574
Theft from Vehicle,2016,7,1,16,0,7XX GREAT NORTHERN WAY,mountpleasant,493622.55,5457072.58
Break and Enter Commercial,2016,10,3,0,30,3XX ABBOTT ST,downtown,492226.76,5458908.01
Theft of Vehicle,2016,11,16,16,0,18XX STEPHENS ST,kitsilano,487906.68,5457491.92
Break and Enter Commercial,2016,9,20,10,40,3XX ABBOTT ST,downtown,492223.54,5458896.67
Break and Enter Residential/Other,2016,1,15,19,0,57XX WALLACE ST,dunbarsouthlands,486096.9,5453550.73
Theft of Vehicle,2016,7,1,0,0,10XX SE MARINE DR,sunset,493873.13,5450918.87
Break and Enter Commercial,2016,2,22,18,30,3XX ABBOTT ST,downtown,492213.87,5458862.65
Theft from Vehicle,2016,7,4,0,30,7XX E 33RD AVE,kensingtoncedarcottage,493551.19,5454166.72
Mischief,2016,3,29,8,0,10XX SEYMOUR ST,downtown,491045.79,5458359.8
Theft from Vehicle,2016,6,18,22,0,7XX E 33RD AVE,kensingtoncedarcottage,493515.64,5454166.42
Mischief,2016,3,29,8,51,10XX SEYMOUR ST,downtown,491045.79,5458359.8
Break and Enter Commercial,2016,2,28,11,9,9XX MAIN ST,downtown,492726.79,5458223.83
Break and Enter Residential/Other,2016,12,24,15,0,16XX GRANVILLE ST,downtown,490419.58,5457877.16
Other Theft,2016,12,22,13,40,6XX W 41ST AVE,oakridge,491253.17,5453429.86
Mischief,2016,4,23,22,48,10XX SEYMOUR ST,downtown,491045.79,5458359.8
Theft from Vehicle,2016,12,1,21,30,W 5TH AVE / YUKON ST,mountpleasant,491797.64,5457103.09
Theft from Vehicle,2016,11,25,18,26,7XX DUNSMUIR ST,downtown,491483.77,5459051.57
Break and Enter Commercial,2016,10,30,19,0,3X W PENDER ST,downtown,492310.16,5458674.52
Break and Enter Commercial,2016,10,13,6,20,3X W PENDER ST,downtown,492310.16,5458674.52
Theft from Vehicle,2016,6,15,21,0,7XX GREAT NORTHERN WAY,mountpleasant,493622.55,5457072.58
Theft from Vehicle,2016,1,2,22,45,12XX GRANVILLE ST,downtown,490736.91,5458181.04
Theft from Vehicle,2016,1,25,23,30,12XX GRANVILLE ST,downtown,490736.91,5458181.04
Theft from Vehicle,2016,1,25,17,0,7XX E 32ND AVE,kensingtoncedarcottage,493433.55,5454326.43
Theft of Vehicle,2016,8,6,19,0,10XX SE MARINE DR,sunset,493873.13,5450918.87
Theft from Vehicle,2016,11,12,11,0,7XX DUNSMUIR ST,downtown,491483.77,5459051.57
Other Theft,2016,12,26,16,0,6XX W 41ST AVE,oakridge,491253.17,5453429.86
Theft of Vehicle,2016,10,11,12,0,10XX SE MARINE DR,sunset,493873.13,5450918.87
Break and Enter Residential/Other,2016,4,1,9,30,58XX ARGYLE ST,victoriafraserview,494786.11,5453165.71
Theft of Vehicle,2016,11,3,0,0,10XX SE MARINE DR,sunset,493875.67,5450918.93
Break and Enter Commercial,2016,7,16,0,46,5XX NICOLA ST,downtown,490635.4,5459718.51
Break and Enter Residential/Other,2016,4,21,8,40,33XX E 62ND AVE,killarney,497501.6,5451194.56
Break and Enter Residential/Other,2016,3,8,11,0,58XX ATHLONE ST,oakridge,490060.63,5453315.06
Break and Enter Commercial,2016,4,18,23,36,3X W 5TH AVE,mountpleasant,492330.48,5457083.71
Break and Enter Residential/Other,2016,4,8,21,16,58XX ATHLONE ST,oakridge,490060.63,5453315.06
Theft of Vehicle,2016,8,8,7,45,18XX VERNON DR,strathcona,494266.57,5457327.21
Theft of Vehicle,2016,5,20,13,0,18XX VICTORIA DR DVRS,grandviewwoodland,495209.42,5457305.38
Break and Enter Commercial,2016,11,21,4,58,9XX MAIN ST,downtown,492726.16,5458199.65
Break and Enter Commercial,2016,12,23,6,5,5XX PIPELINE RD,stanleypark,490119.17,5460690.39
Theft from Vehicle,2016,12,31,9,24,10XX E 52ND AVE,sunset,493818.52,5452204.98
Theft from Vehicle,2016,6,4,12,30,7XX DUNSMUIR ST,downtown,491483.77,5459051.57
Break and Enter Residential/Other,2016,9,11,8,0,58XX BEATRICE ST,victoriafraserview,495129.22,5453094.24
Break and Enter Commercial,2016,1,9,15,0,3X SMITHE ST,downtown,491792.49,5458018.07
Break and Enter Residential/Other,2016,2,11,15,30,58XX BOUNDARY RD,killarney,498278.57,5453160.69
Break and Enter Residential/Other,2016,11,16,18,33,33XX E 62ND AVE,killarney,497501.75,5451203.91
Theft from Vehicle,2016,3,13,21,0,7XX DRAKE ST,downtown,490701.45,5458155.77
Theft of Vehicle,2016,8,13,20,0,18XX W 10TH AVE,kitsilano,489383.51,5456670.98
Break and Enter Commercial,2016,1,15,19,30,3X E PENDER ST,downtown,492469.81,5458645.14
Break and Enter Commercial,2016,8,16,7,14,3X E PENDER ST,downtown,492466.99,5458645.24
Break and Enter Commercial,2016,9,13,3,0,9XX MAIN ST,downtown,492726.16,5458199.65
Break and Enter Commercial,2016,4,14,19,0,3X E PENDER ST,downtown,492464.17,5458645.34
Break and Enter Residential/Other,2016,2,19,17,0,58XX CARTIER ST,oakridge,489954.41,5453337.8
Break and Enter Commercial,2016,7,23,4,0,9XX MAIN ST,downtown,492726.16,5458199.65
Break and Enter Residential/Other,2016,9,27,6,30,15XX E 13TH AVE,kensingtoncedarcottage,494714.79,5456213.65
Theft from Vehicle,2016,3,13,19,0,7XX E 28TH AVE,kensingtoncedarcottage,493548.87,5454747.28
Break and Enter Commercial,2016,7,4,7,0,3X W 1ST AVE,mountpleasant,492330.28,5457490.71
Break and Enter Commercial,2016,1,8,18,0,3X W 1ST AVE,mountpleasant,492330.28,5457490.71
Break and Enter Residential/Other,2016,5,22,20,0,33XX E 6TH AVE,hastingssunrise,497617.18,5456878.49
Break and Enter Residential/Other,2016,11,4,16,30,58XX CHURCHILL ST,kerrisdale,489705.15,5453349.75
Mischief,2016,4,20,2,28,10XX SEYMOUR ST,downtown,491097.26,5458412.13
Break and Enter Commercial,2016,12,16,13,17,9XX MAIN ST,strathcona,492745.92,5458192.93
Break and Enter Commercial,2016,10,13,16,0,9XX MAIN ST,strathcona,492745.92,5458192.93
Vehicle Collision or Pedestrian Struck (with Injury),2016,7,5,19,18,32XX E 54TH AVE,killarney,497179,5451931
Theft of Vehicle,2016,3,4,7,0,10XX SEYMOUR ST,downtown,491045.79,5458359.8
Break and Enter Residential/Other,2016,4,28,7,30,33XX E 6TH AVE,hastingssunrise,497683.63,5456878.1
Break and Enter Commercial,2016,1,9,4,45,3X E BROADWAY AVE,mountpleasant,492421.96,5456693.17
Theft from Vehicle,2016,12,19,21,30,7XX E 11TH AVE,mountpleasant,493518.98,5456427.5
Theft from Vehicle,2016,12,18,14,0,12XX GRANVILLE ST,downtown,490766.29,5458211.17
Break and Enter Residential/Other,2016,7,3,20,18,58XX FLEMING ST,victoriafraserview,494684.52,5453155.94
Break and Enter Commercial,2016,10,10,15,8,3X E BROADWAY AVE,mountpleasant,492417.18,5456702.51
Other Theft,2016,8,18,14,30,34XX CAMBIE ST,rileypark,491621.09,5455707.63
Other Theft,2016,6,26,16,25,34XX CAMBIE ST,rileypark,491621.09,5455707.63
Break and Enter Commercial,2016,8,5,17,0,3X E BROADWAY AVE,mountpleasant,492417.18,5456702.51
Break and Enter Commercial,2016,11,2,11,46,5XX MOBERLY RD,fairview,491459.18,5457228.7
Break and Enter Commercial,2016,4,13,2,18,5XX MOBERLY RD,fairview,491459.08,5457235.51
Theft of Vehicle,2016,3,10,22,0,18XX W 15TH AVE,kitsilano,489369.72,5456153.66
Theft of Vehicle,2016,8,31,16,0,18XX W 15TH AVE,kitsilano,489369.72,5456153.66
Other Theft,2016,6,30,20,55,7XX GRANVILLE ST,downtown,491304.23,5458753.82
Vehicle Collision or Pedestrian Struck (with Injury),2016,3,10,9,28,33XX ARBUTUS ST,arbutusridge,488871,5455957
Break and Enter Commercial,2016,6,14,11,13,9XX MAIN ST,downtown,492725.68,5458181.51
Theft from Vehicle,2016,4,23,9,0,12XX GRANVILLE ST,downtown,490766.33,5458211.21
Break and Enter Commercial,2016,5,23,7,41,3X E 7TH AVE,mountpleasant,492422.16,5456887.4
Other Theft,2016,2,7,13,30,71XX KERR ST,killarney,496991.54,5451723.17
Theft from Vehicle,2016,1,13,19,0,11XX HARO ST,westend,490826.26,5459034.05
Break and Enter Residential/Other,2016,6,1,18,0,15XX E 13TH AVE,kensingtoncedarcottage,494719.97,5456222.73
Other Theft,2016,12,17,21,30,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,11,16,21,55,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,10,21,22,50,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,10,5,22,40,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,10,4,17,57,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,9,30,21,29,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,3,10,21,30,71XX KERR ST,killarney,496991.54,5451723.17
Other Theft,2016,9,18,22,45,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Break and Enter Residential/Other,2016,2,6,21,0,33XX E 6TH AVE,hastingssunrise,497715.97,5456887.06
Other Theft,2016,8,12,21,19,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,8,11,21,15,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,7,13,15,59,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,7,11,22,45,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,7,5,10,13,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,6,28,22,29,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,6,19,13,30,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Theft of Vehicle,2016,3,17,14,0,18XX W 35TH AVE,shaughnessy,489404.79,5454133.61
Break and Enter Commercial,2016,5,6,9,47,5XX MOBERLY RD,fairview,491459.04,5457237.77
Break and Enter Commercial,2016,6,16,6,46,3X E 5TH AVE,mountpleasant,492432.35,5457080.88
Other Theft,2016,6,18,10,34,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,5,18,21,42,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,5,17,22,45,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,5,17,22,40,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,5,16,22,35,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,4,20,22,50,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,4,12,20,23,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,4,2,11,11,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Theft of Vehicle,2016,9,25,21,0,18XX W 3RD AVE,kitsilano,489399.55,5457354.87
Other Theft,2016,3,28,20,8,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,3,28,19,3,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Break and Enter Residential/Other,2016,4,8,5,45,33XX E 8TH AVE,hastingssunrise,497655.8,5456677.63
Other Theft,2016,3,22,21,41,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,3,12,13,1,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,3,7,16,18,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,2,20,13,52,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Other Theft,2016,1,22,22,37,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Break and Enter Residential/Other,2016,11,1,7,0,58XX MCKINNON ST,killarney,497171.52,5453127.19
Other Theft,2016,1,16,19,5,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Break and Enter Commercial,2016,9,26,1,42,3X E 16TH AVE,mountpleasant,492408.44,5455994.01
Other Theft,2016,1,1,12,37,34XX CAMBIE ST,southcambie,491614.69,5455781.17
Break and Enter Residential/Other,2016,7,19,11,15,33XX FIELDSTONE AVE,killarney,497564.72,5450587.23
Theft from Vehicle,2016,4,17,20,0,DAVIE ST / RICHARDS ST,downtown,490961.81,5458133.41
Theft from Vehicle,2016,3,10,22,34,W 1ST AVE / YEW ST,kitsilano,488721.33,5457573.97
Break and Enter Commercial,2016,2,28,11,49,9XX MAIN ST,downtown,492725.68,5458181.51
Break and Enter Commercial,2016,7,14,19,0,5XX MAIN ST,strathcona,492752.7,5458608.34
Break and Enter Residential/Other,2016,9,16,3,0,58XX ORMIDALE ST,killarney,498179.14,5453241.76
Break and Enter Residential/Other,2016,11,27,4,57,58XX PRINCE ALBERT ST,sunset,493599.82,5453155.51
Break and Enter Residential/Other,2016,10,8,6,0,58XX RUPERT ST,killarney,496863.32,5453126.86
Break and Enter Commercial,2016,7,8,5,40,3X E 10TH AVE,mountpleasant,492410.61,5456589.19
Theft from Vehicle,2016,1,25,17,0,7XX E 13TH AVE,mountpleasant,493553.55,5456235.6
Break and Enter Residential/Other,2016,10,26,20,32,58XX SHERBROOKE ST,sunset,494080.79,5453149.35
Theft from Vehicle,2016,9,16,20,0,COLUMBIA ST / KEEFER ST,downtown,492569.99,5458508.48
Theft from Vehicle,2016,5,24,3,0,E 17TH AVE / SOPHIA ST,rileypark,492834.34,5455880.48
Break and Enter Residential/Other,2016,7,23,22,30,58XX SHERBROOKE ST,sunset,494090.18,5453164.39
Theft of Vehicle,2016,7,29,2,30,18XX W 60TH AVE,kerrisdale,489133.21,5451602.12
Theft from Vehicle,2016,7,8,18,0,7XX DRAKE ST,downtown,490642.7,5458226.43
Theft from Vehicle,2016,12,1,0,0,10XX BALFOUR AVE,shaughnessy,490719.63,5455442.55
Break and Enter Residential/Other,2016,12,12,2,0,58XX SHERBROOKE ST,sunset,494090.48,5453183.38
Break and Enter Residential/Other,2016,8,12,21,30,58XX ST MARGARETS ST,victoriafraserview,495886.73,5453147.29
Theft from Vehicle,2016,10,6,17,30,COLUMBIA ST / KEEFER ST,downtown,492569.99,5458508.48
Break and Enter Commercial,2016,4,4,14,17,5XX HOMER ST,downtown,491795.14,5458836.39
Theft from Vehicle,2016,9,4,18,0,7XX E 12TH AVE,mountpleasant,493616.37,5456337.24
Theft from Vehicle,2016,8,31,5,9,ALMA ST / W 12TH AVE,kitsilano,486473.07,5456561.55
Break and Enter Residential/Other,2016,6,10,18,0,58XX TISDALL ST,oakridge,491082.67,5453316.73
Break and Enter Commercial,2016,8,1,21,21,39XX OAK ST,southcambie,490726.4,5455338.41
Break and Enter Residential/Other,2016,10,1,20,29,58XX TISDALL ST,oakridge,491082.74,5453314.31
Theft from Vehicle,2016,1,15,6,50,BURRARD ST / DRAKE ST,westend,490487.32,5458372.81
Mischief,2016,6,4,13,45,10XX ROBSON ST,westend,491031.94,5458997.83
Break and Enter Residential/Other,2016,12,10,17,48,76XX FRENCH ST,marpole,489885.51,5451512.87
Break and Enter Residential/Other,2016,3,26,4,2,58XX TISDALL ST,oakridge,491082.79,5453312.84
Theft from Vehicle,2016,8,31,21,45,10XX BALFOUR AVE,shaughnessy,490716.18,5455442.81
Theft from Vehicle,2016,11,2,12,5,COLUMBIA ST / KEEFER ST,downtown,492569.99,5458508.48
Break and Enter Residential/Other,2016,10,21,9,19,59XX ADERA ST,kerrisdale,489554.62,5453224.31
Theft from Vehicle,2016,5,10,18,0,1XX W 40TH AVE,rileypark,492124.23,5453550.05
Break and Enter Commercial,2016,8,5,6,14,39XX FRASER ST,kensingtoncedarcottage,493445.17,5455203.08
Theft from Vehicle,2016,12,16,20,0,7XX DRAKE ST,downtown,490642.36,5458226.77
Theft from Vehicle,2016,2,23,2,0,7XX DENMAN ST,westend,490195.71,5459921.53
Theft from Vehicle,2016,10,5,3,30,7XX DENMAN ST,westend,490184.14,5459909.86
Break and Enter Residential/Other,2016,6,14,20,21,59XX ATHLONE ST,oakridge,490059.52,5453277.46
Theft from Vehicle,2016,11,2,10,45,7XX DAVIE ST,downtown,490814.46,5458274.51
Break and Enter Residential/Other,2016,7,29,5,0,59XX BALSAM ST,kerrisdale,488243.02,5453291.41
Break and Enter Commercial,2016,3,23,18,30,38XX RUPERT ST,renfrewcollingwood,497548.17,5455215.42
Theft of Vehicle,2016,9,7,2,0,18XX WATERLOO ST,kitsilano,486935.73,5457518.01
Other Theft,2016,8,12,16,51,7XX ROBSON ST,downtown,491215.74,5458816.61
Theft from Vehicle,2016,8,21,12,0,7XX DENMAN ST,westend,490173.36,5459886
Break and Enter Residential/Other,2016,11,8,18,10,59XX BLENHEIM ST,kerrisdale,486992.87,5453300.83
Theft from Vehicle,2016,5,3,22,30,23XX E 27TH AVE,kensingtoncedarcottage,495724.25,5454879.4
Theft from Vehicle,2016,3,21,22,0,7XX CHILCO ST,westend,490015.32,5460150.42
Theft from Vehicle,2016,2,10,21,0,7XX CHILCO ST,westend,490015.32,5460150.42
Break and Enter Residential/Other,2016,11,25,18,30,59XX EARLES ST,killarney,496449.94,5453022.97
Break and Enter Residential/Other,2016,7,10,13,45,59XX FLEMING ST,victoriafraserview,494691.57,5453058.21
Break and Enter Residential/Other,2016,5,10,17,48,59XX OAK ST,oakridge,490673.25,5453197.24
Theft from Vehicle,2016,11,7,16,0,7XX CHILCO ST,westend,490010.43,5460145.61
Theft from Vehicle,2016,9,22,19,0,12XX HARWOOD ST,westend,490074.53,5458697.45
Break and Enter Residential/Other,2016,3,20,11,32,33XX GRANVILLE ST,shaughnessy,489891.57,5455906.64
Theft from Vehicle,2016,12,14,22,0,W 7TH AVE / WILLOW ST,fairview,491140.48,5456931.65
Theft of Vehicle,2016,1,17,1,30,18XX YORK AVE,kitsilano,489270.15,5457651.23
Break and Enter Residential/Other,2016,6,20,18,48,59XX LATTA ST,killarney,497479.57,5453011.45
Break and Enter Residential/Other,2016,8,14,13,29,59XX LAUREL ST,oakridge,490885.39,5453241.65
Break and Enter Commercial,2016,3,8,12,18,38XX POINT GREY RD,westpointgrey,486323.55,5457729.29
Break and Enter Commercial,2016,2,29,2,57,38XX POINT GREY RD,westpointgrey,486323.55,5457729.29
Break and Enter Residential/Other,2016,12,29,14,59,59XX LAUREL ST,oakridge,490899.65,5453175.67
Break and Enter Residential/Other,2016,10,20,13,37,5X E 61ST AVE,sunset,492337,5451363.75
Theft from Vehicle,2016,4,3,10,30,1XX W 41ST AVE,oakridge,492079.17,5453389.27
Break and Enter Residential/Other,2016,4,29,21,0,59XX ORMIDALE ST,killarney,498181,5453031.87
Theft from Vehicle,2016,1,24,17,28,11XX HARO ST,westend,490831.94,5459028.22
Break and Enter Residential/Other,2016,9,2,21,59,59XX ORMIDALE ST,killarney,498181,5453031.87
Theft from Vehicle,2016,12,1,20,0,11XX HARO ST,westend,490831.94,5459028.22
Break and Enter Commercial,2016,5,24,8,8,38XX ONTARIO ST,rileypark,492359.06,5455314.3
Break and Enter Commercial,2016,5,15,20,0,38XX OAK ST,southcambie,490728.25,5455401.15
Theft from Vehicle,2016,1,24,23,0,1XX W 41ST AVE,rileypark,492093.74,5453397.63
Break and Enter Residential/Other,2016,4,15,3,40,59XX PRINCE ALBERT ST,sunset,493597.54,5453045.65
Break and Enter Residential/Other,2016,6,18,3,29,59XX RUPERT ST,killarney,496863.01,5453064.61
Break and Enter Residential/Other,2016,3,1,21,0,59XX VICTORIA DR,victoriafraserview,495221.47,5453044.44
Break and Enter Residential/Other,2016,4,13,10,25,59XX WILLOW ST,oakridge,490989.38,5453190.44
Theft of Vehicle,2016,10,7,20,0,19XX ALBERNI ST,westend,490087.24,5460077.55
Break and Enter Commercial,2016,8,10,6,27,38XX MAIN ST,rileypark,492655.35,5455348.5
Break and Enter Residential/Other,2016,11,18,8,30,5X E 37TH AVE,rileypark,492388.14,5453838.32
Break and Enter Commercial,2016,8,29,8,52,38XX MAIN ST,rileypark,492655.31,5455347.04
Break and Enter Residential/Other,2016,1,1,14,15,5X E CORDOVA ST,downtown,492492.05,5458844.5
Break and Enter Commercial,2016,8,15,18,0,38XX MAIN ST,rileypark,492646.26,5455350.23
Break and Enter Commercial,2016,4,6,4,50,38XX MAIN ST,rileypark,492645.91,5455338.57
Theft of Vehicle,2016,5,21,22,0,10XX SEYMOUR ST,downtown,491123.08,5458425.35
Theft of Vehicle,2016,6,18,14,0,19XX BALSAM ST,kitsilano,488367.36,5457315.27
Theft from Vehicle,2016,10,23,19,0,7XX CASSIAR ST,hastingssunrise,497765.17,5458303.43
Break and Enter Commercial,2016,9,3,23,0,38XX MAIN ST,rileypark,492645.7,5455331.29
Break and Enter Residential/Other,2016,11,24,10,45,5X E HASTINGS ST,downtown,492491.24,5458741.33
Break and Enter Residential/Other,2016,3,22,15,3,33XX GRANVILLE ST,shaughnessy,489891.57,5455906.64
Break and Enter Residential/Other,2016,5,3,13,45,33XX GRANVILLE ST,shaughnessy,489891.57,5455906.64
Break and Enter Residential/Other,2016,5,26,7,21,5X E PENDER ST,downtown,492486.38,5458635.38
Break and Enter Commercial,2016,6,12,18,26,37XX W 8TH AVE,westpointgrey,486359.17,5456956.63
Theft of Vehicle,2016,9,12,11,38,19XX BARCLAY ST,westend,489821.79,5459878.95
